id,Durat   ,Prot    ,Src Port,Dst Port, Tos  ,Packets ,Bytes  , Flows  ,Label
528,0,UDP,48485,53,0,2,256,1,LEGITIMATE
529,0,UDP,52695,53,0,2,240,1,LEGITIMATE
530,0,UDP,53170,53,0,2,254,1,LEGITIMATE
531,0,UDP,41310,53,0,2,207,1,LEGITIMATE
532,45.299,TCP,59187,443,0,16,3704,1,LEGITIMATE
533,0,UDP,32815,53,0,2,358,1,LEGITIMATE
534,0,UDP,55246,53,0,2,358,1,LEGITIMATE
535,0.233,UDP,34685,53,0,2,150,1,LEGITIMATE
536,0,UDP,40907,53,0,2,582,1,LEGITIMATE
537,0,UDP,59092,53,0,2,356,1,LEGITIMATE
538,0,UDP,41311,53,0,2,207,1,LEGITIMATE
539,45.299,TCP,59188,443,0,16,3667,1,LEGITIMATE
540,45.298,TCP,59189,443,0,16,3667,1,LEGITIMATE
541,45.298,TCP,59190,443,0,16,3666,1,LEGITIMATE
542,45.298,TCP,59191,443,0,16,3666,1,LEGITIMATE
543,0.02,UDP,59660,53,0,2,309,1,LEGITIMATE
544,45.242,TCP,51745,443,0,16,3869,1,LEGITIMATE
545,45.241,TCP,51746,443,0,16,3869,1,LEGITIMATE
546,0.003,UDP,61288,13363,0,2,133,1,Background
547,15.92,UDP,427,427,0,5,490,1,Background
548,15.92,UDP,427,427,0,5,550,1,Background
549,45.107,TCP,40352,443,0,12,1472,1,LEGITIMATE
550,45.107,TCP,40353,443,0,12,1472,1,LEGITIMATE
551,45.107,TCP,40354,443,0,12,1472,1,LEGITIMATE
552,0,UDP,46060,53,0,2,208,1,Background
553,0,UDP,55432,53,0,2,207,1,Background
554,0,UDP,36527,53,0,2,208,1,Background
555,0,UDP,33658,53,0,2,207,1,Background
556,58.544,UDP,56808,13363,0,4,737,1,Background
557,0,UDP,43743,53,0,2,208,1,Background
558,0,UDP,45131,53,0,2,207,1,Background
559,17.983,UDP,9757,19083,0,4,276,1,Background
560,0,UDP,44840,13363,0,2,243,1,Background
561,0,UDP,54258,13363,0,2,137,1,Background
562,0,UDP,28239,13363,0,2,133,1,Background
563,0,UDP,37472,53,0,2,208,1,Background
564,0,UDP,42874,53,0,2,207,1,Background
565,0,UDP,51732,53,0,2,208,1,Background
566,0,UDP,39915,53,0,2,207,1,Background
567,0,UDP,43410,53,0,2,208,1,Background
568,0,UDP,40834,53,0,2,207,1,Background
569,0,UDP,53909,53,0,2,208,1,Background
570,0,UDP,39418,53,0,2,207,1,Background
571,0,UDP,33009,53,0,2,208,1,Background
572,0,UDP,46947,53,0,2,207,1,Background
573,0,UDP,58305,13363,0,2,259,1,Background
574,0.034,UDP,54589,19083,0,2,253,1,Background
575,0.002,UDP,40505,19083,0,2,534,1,Background
576,0,UDP,60604,53,0,2,214,1,Background
577,0.246,TCP,19083,35709,0,3,214,1,Background
578,0,UDP,34631,53,0,2,214,1,Background
579,0.024,TCP,5846,80,0,3,162,1,LEGITIMATE
580,16.867,TCP,7793,80,0,5,283,1,LEGITIMATE
581,16.843,TCP,7794,80,0,5,283,1,LEGITIMATE
582,35.654,UDP,63779,13363,0,4,682,1,Background
583,0.004,UDP,2580,13363,0,2,135,1,Background
584,0.299,UDP,13363,53305,0,2,134,1,Background
585,0.302,UDP,13363,10772,0,2,139,1,Background
586,0.321,TCP,55953,80,0,9,1509,1,Background
587,0,UDP,28914,13363,0,2,249,1,Background
588,0,UDP,47559,19083,0,2,139,1,Background
589,0,UDP,11087,13363,0,2,236,1,Background
590,0.001,UDP,45315,123,0,2,180,1,Background
591,0,UDP,27547,19083,0,2,134,1,Background
592,0,UDP,34760,13363,0,2,244,1,Background
593,0.002,UDP,53336,13363,0,2,564,1,Background
594,0,UDP,49223,53,0,2,394,1,Background
595,0.169,TCP,1858,80,0,66,58424,1,Background
596,0,UDP,13096,13363,0,2,233,1,Background
597,0.207,UDP,13363,16081,0,2,132,1,Background
598,0,ICMP,7,7,0,1,1066,1,Botnet
599,0,ICMP,7,7,0,1,1066,1,Botnet
600,0,ICMP,7,7,0,1,1066,1,Botnet
601,0,ICMP,7,7,0,1,1066,1,Botnet
602,0,ICMP,7,7,0,1,1066,1,Botnet
603,0,ICMP,7,7,0,1,1066,1,Botnet
604,0,ICMP,7,7,0,1,1066,1,Botnet
605,0,ICMP,7,7,0,1,1066,1,Botnet
606,0,ICMP,7,7,0,1,1066,1,Botnet
607,0,ICMP,7,7,0,1,1066,1,Botnet
608,0,ICMP,7,7,0,1,1066,1,Botnet
609,0,ICMP,7,7,0,1,1066,1,Botnet
610,0,ICMP,7,7,0,1,1066,1,Botnet
611,0,ICMP,7,7,0,1,1066,1,Botnet
612,0,TCP,2173,6881,0,2,116,1,Background
613,0,ICMP,7,7,0,1,1066,1,Botnet
614,0,ICMP,7,7,0,1,1066,1,Botnet
615,0,ICMP,7,7,0,1,1066,1,Botnet
616,0,ICMP,7,7,0,1,1066,1,Botnet
617,0,ICMP,7,7,0,1,1066,1,Botnet
618,0,ICMP,7,7,0,1,1066,1,Botnet
619,0,ICMP,7,7,0,1,1066,1,Botnet
620,0,ICMP,7,7,0,1,1066,1,Botnet
621,0,ICMP,7,7,0,1,1066,1,Botnet
622,0,ICMP,7,7,0,1,1066,1,Botnet
623,0,ICMP,7,7,0,1,1066,1,Botnet
624,0,ICMP,7,7,0,1,1066,1,Botnet
625,0,ICMP,7,7,0,1,1066,1,Botnet
626,0,ICMP,7,7,0,1,1066,1,Botnet
627,0,ICMP,7,7,0,1,1066,1,Botnet
628,0,ICMP,7,7,0,1,1066,1,Botnet
629,0,ICMP,7,7,0,1,1066,1,Botnet
630,0,ICMP,7,7,0,1,1066,1,Botnet
631,0,ICMP,7,7,0,1,1066,1,Botnet
632,0,ICMP,7,7,0,1,1066,1,Botnet
633,0,ICMP,7,7,0,1,1066,1,Botnet
634,0,ICMP,7,7,0,1,1066,1,Botnet
635,0,ICMP,7,7,0,1,1066,1,Botnet
636,59.509,UDP,43087,26510,0,369,303048,1,Background
637,0,TCP,1260,6881,0,2,116,1,Background
638,0,ICMP,7,7,0,1,1066,1,Botnet
639,0,ICMP,7,7,0,1,1066,1,Botnet
640,0,ICMP,7,7,0,1,1066,1,Botnet
641,0,ICMP,7,7,0,1,1066,1,Botnet
642,0,ICMP,7,7,0,1,1066,1,Botnet
643,0,ICMP,7,7,0,1,1066,1,Botnet
644,0,ICMP,7,7,0,1,1066,1,Botnet
645,0,ICMP,7,7,0,1,1066,1,Botnet
646,0,ICMP,7,7,0,1,1066,1,Botnet
647,0,ICMP,7,7,0,1,1066,1,Botnet
648,0,ICMP,7,7,0,1,1066,1,Botnet
649,0,ICMP,7,7,0,1,1066,1,Botnet
650,0,ICMP,7,7,0,1,1066,1,Botnet
651,0,ICMP,7,7,0,1,1066,1,Botnet
652,0,ICMP,7,7,0,1,1066,1,Botnet
653,0,ICMP,7,7,0,1,1066,1,Botnet
654,0,ICMP,7,7,0,1,1066,1,Botnet
655,0,ICMP,7,7,0,1,1066,1,Botnet
656,0,ICMP,7,7,0,1,1066,1,Botnet
657,0,ICMP,7,7,0,1,1066,1,Botnet
658,0,ICMP,7,7,0,1,1066,1,Botnet
659,0,ICMP,7,7,0,1,1066,1,Botnet
660,0,ICMP,7,7,0,1,1066,1,Botnet
661,0,ICMP,7,7,0,1,1066,1,Botnet
662,0,ICMP,7,7,0,1,1066,1,Botnet
663,0,ICMP,7,7,0,1,1066,1,Botnet
664,0,ICMP,7,7,0,1,1066,1,Botnet
665,0,ICMP,7,7,0,1,1066,1,Botnet
666,0,ICMP,7,7,0,1,1066,1,Botnet
667,0,ICMP,7,7,0,1,1066,1,Botnet
668,0,ICMP,7,7,0,1,1066,1,Botnet
669,0,ICMP,7,7,0,1,1066,1,Botnet
670,0,ICMP,7,7,0,1,1066,1,Botnet
671,0,ICMP,7,7,0,1,1066,1,Botnet
672,0,ICMP,7,7,0,1,1066,1,Botnet
673,0,ICMP,7,7,0,1,1066,1,Botnet
674,0,ICMP,7,7,0,1,1066,1,Botnet
675,0,ICMP,7,7,0,1,1066,1,Botnet
676,0,ICMP,7,7,0,1,1066,1,Botnet
677,0,ICMP,7,7,0,1,1066,1,Botnet
678,0,ICMP,7,7,0,1,1066,1,Botnet
679,0,ICMP,7,7,0,1,1066,1,Botnet
680,0,ICMP,7,7,0,1,1066,1,Botnet
681,0,ICMP,7,7,0,1,1066,1,Botnet
682,0,ICMP,7,7,0,1,1066,1,Botnet
683,0,ICMP,7,7,0,1,1066,1,Botnet
684,0,ICMP,7,7,0,1,1066,1,Botnet
685,0,TCP,1285,34571,0,1,62,1,Background
686,0.002,ICMP,7,7,0,1,78,1,LEGITIMATE
687,0,ICMP,7,7,0,1,1066,1,Botnet
688,0,ICMP,7,7,0,1,1066,1,Botnet
689,0,ICMP,7,7,0,1,1066,1,Botnet
690,0,ICMP,7,7,0,1,1066,1,Botnet
691,0,ICMP,7,7,0,1,1066,1,Botnet
692,0,ICMP,7,7,0,1,1066,1,Botnet
693,0,ICMP,7,7,0,1,1066,1,Botnet
694,0,ICMP,7,7,0,1,1066,1,Botnet
695,0,ICMP,7,7,0,1,1066,1,Botnet
696,0,ICMP,7,7,0,1,1066,1,Botnet
697,0,ICMP,7,7,0,1,1066,1,Botnet
698,0,ICMP,7,7,0,1,1066,1,Botnet
699,0,ICMP,7,7,0,1,1066,1,Botnet
700,0,ICMP,7,7,0,1,1066,1,Botnet
701,0,ICMP,7,7,0,1,1066,1,Botnet
702,0,ICMP,7,7,0,1,1066,1,Botnet
703,0,ICMP,7,7,0,1,1066,1,Botnet
704,0,ICMP,7,7,0,1,1066,1,Botnet
705,0,ICMP,7,7,0,1,1066,1,Botnet
706,0,ICMP,7,7,0,1,1066,1,Botnet
707,0,ICMP,7,7,0,1,1066,1,Botnet
708,0,ICMP,7,7,0,1,1066,1,Botnet
709,0,ICMP,7,7,0,1,1066,1,Botnet
710,0,ICMP,7,7,0,1,1066,1,Botnet
711,0,ICMP,7,7,0,1,1066,1,Botnet
712,0,ICMP,7,7,0,1,1066,1,Botnet
713,0,ICMP,7,7,0,1,1066,1,Botnet
714,0,ICMP,7,7,0,1,1066,1,Botnet
715,0,ICMP,7,7,0,1,1066,1,Botnet
716,0,ICMP,7,7,0,1,1066,1,Botnet
717,0,ICMP,7,7,0,1,1066,1,Botnet
718,0,ICMP,7,7,0,1,1066,1,Botnet
719,0,ICMP,7,7,0,1,1066,1,Botnet
720,0,ICMP,7,7,0,1,1066,1,Botnet
721,0,ICMP,7,7,0,1,1066,1,Botnet
722,0,ICMP,7,7,0,1,1066,1,Botnet
723,0,ICMP,7,7,0,1,1066,1,Botnet
724,0,ICMP,7,7,0,1,1066,1,Botnet
725,0,ICMP,7,7,0,1,1066,1,Botnet
726,0,ICMP,7,7,0,1,1066,1,Botnet
727,0,ICMP,7,7,0,1,1066,1,Botnet
728,0,ICMP,7,7,0,1,1066,1,Botnet
729,0,ICMP,7,7,0,1,1066,1,Botnet
730,0,ICMP,7,7,0,1,1066,1,Botnet
731,0,ICMP,7,7,0,1,1066,1,Botnet
732,0,ICMP,7,7,0,1,1066,1,Botnet
733,0,ICMP,7,7,0,1,1066,1,Botnet
734,0,ICMP,7,7,0,1,1066,1,Botnet
735,0,ICMP,7,7,0,1,1066,1,Botnet
736,0,ICMP,7,7,0,1,1066,1,Botnet
737,0,ICMP,7,7,0,1,1066,1,Botnet
738,0,ICMP,7,7,0,1,1066,1,Botnet
739,0,ICMP,7,7,0,1,1066,1,Botnet
740,0,ICMP,7,7,0,1,1066,1,Botnet
741,0,ICMP,7,7,0,1,1066,1,Botnet
742,0,ICMP,7,7,0,1,1066,1,Botnet
743,0,ICMP,7,7,0,1,1066,1,Botnet
744,0,ICMP,7,7,0,1,1066,1,Botnet
745,0,ICMP,7,7,0,1,1066,1,Botnet
746,0,ICMP,7,7,0,1,1066,1,Botnet
747,0,ICMP,7,7,0,1,1066,1,Botnet
748,0,ICMP,7,7,0,1,1066,1,Botnet
749,0,ICMP,7,7,0,1,1066,1,Botnet
750,0,ICMP,7,7,0,1,1066,1,Botnet
751,0,ICMP,7,7,0,1,1066,1,Botnet
752,0,UDP,34559,53,0,2,214,1,Background
753,0.15,TCP,4181,12350,0,3,172,1,Background
754,59.58,UDP,43087,22384,0,524,448403,1,Background
755,1.38,TCP,38726,80,0,4,264,1,Background
756,0,ICMP,7,7,0,1,78,1,LEGITIMATE
757,0,UDP,19181,17005,0,1,145,1,Background
758,0,UDP,43875,53,0,2,214,1,Background
759,0,UDP,42173,19083,0,2,135,1,Background
760,0.001,UDP,12961,19083,0,2,610,1,Background
761,0.001,UDP,34273,13363,0,2,1127,1,Background
762,52.088,UDP,1573,13363,0,6,1140,1,Background
763,44.282,UDP,13363,29624,0,6,1095,1,Background
764,0,TCP,2452,43087,0,2,120,1,Background
765,4.375,TCP,64933,80,0,5,275,1,Background
766,0.232,UDP,38455,53,0,2,150,1,LEGITIMATE
767,0.001,UDP,35600,13363,0,2,127,1,Background
768,58.934,TCP,57514,443,0,24,4781,1,LEGITIMATE
769,0,UDP,16341,19083,0,2,137,1,Background
770,0,UDP,41111,19083,0,2,124,1,Background
771,0,UDP,50506,53,0,2,214,1,Background
772,0,UDP,56078,53,0,2,214,1,Background
773,0,UDP,35108,53,0,2,214,1,Background
774,0,UDP,60445,53,0,2,214,1,Background
775,0,UDP,45980,53,0,2,214,1,Background
776,0,UDP,48082,53,0,2,214,1,Background
777,0,UDP,50358,53,0,2,214,1,Background
778,0.079,UDP,19181,45815,0,2,474,1,Background
779,0.254,UDP,19181,17157,0,2,474,1,Background
780,4.959,TCP,3167,62653,0,13,1442,1,Background
781,0,UDP,63116,53,0,2,261,1,Background
782,0.208,TCP,1860,80,0,39,30700,1,Background
783,0,UDP,42186,53,0,2,214,1,Background
784,0,UDP,51772,53,0,2,214,1,Background
785,0,UDP,55747,53,0,2,214,1,Background
786,0.517,TCP,2758,443,0,19,13161,1,LEGITIMATE
787,0.233,TCP,2759,443,0,8,4452,1,LEGITIMATE
788,0,UDP,13363,56814,0,2,269,1,Background
789,0,TCP,54106,443,0,1,54,1,LEGITIMATE
790,0,TCP,54107,443,0,1,54,1,LEGITIMATE
791,0,TCP,54109,443,0,1,54,1,LEGITIMATE
792,0,TCP,54110,443,0,1,54,1,LEGITIMATE
793,0,TCP,54111,443,0,1,54,1,LEGITIMATE
794,0,TCP,54113,443,0,1,54,1,LEGITIMATE
795,0,TCP,54114,443,0,1,54,1,LEGITIMATE
796,0,TCP,54115,443,0,1,54,1,LEGITIMATE
797,0,TCP,54116,443,0,1,54,1,LEGITIMATE
798,0,TCP,54117,443,0,1,54,1,LEGITIMATE
799,0,TCP,54118,443,0,1,54,1,LEGITIMATE
800,0,TCP,54120,443,0,1,54,1,LEGITIMATE
801,0.007,TCP,54121,443,0,3,162,1,LEGITIMATE
802,0,TCP,54122,443,0,1,54,1,LEGITIMATE
803,0,TCP,54123,443,0,1,54,1,LEGITIMATE
804,0,TCP,54124,443,0,1,54,1,LEGITIMATE
805,0,TCP,54125,443,0,1,54,1,LEGITIMATE
806,0,TCP,54126,443,0,1,54,1,LEGITIMATE
807,0,TCP,54127,443,0,1,54,1,LEGITIMATE
808,0,UDP,43446,53,0,2,214,1,Background
809,0.02,UDP,44282,53,0,2,214,1,Background
810,0,UDP,28224,443,0,2,128,1,Background
811,0,UDP,52711,53,0,2,294,1,Background
812,0,UDP,62289,53,0,2,306,1,Background
813,0,UDP,34531,53,0,2,218,1,Background
814,0,UDP,35460,53,0,2,340,1,Background
815,0,UDP,35150,53,0,2,214,1,Background
816,0,UDP,34000,53,0,2,214,1,Background
817,0,UDP,54803,53,0,2,214,1,Background
818,0,UDP,42048,53,0,2,214,1,Background
819,0.057,UDP,13363,9813,0,2,562,1,Background
820,0,UDP,36879,53,0,2,214,1,Background
821,0,UDP,51480,53,0,2,214,1,Background
822,0,UDP,56579,53,0,2,214,1,Background
823,0,UDP,47216,53,0,2,214,1,Background
824,0,UDP,36378,53,0,2,214,1,Background
825,0,UDP,57209,53,0,2,214,1,Background
826,0,UDP,38556,53,0,2,214,1,Background
827,0,UDP,33375,53,0,2,214,1,Background
828,0.305,TCP,3780,80,0,10,2553,1,LEGITIMATE
829,0.315,UDP,13363,31198,0,2,139,1,Background
830,0,UDP,9896,13363,0,2,245,1,Background
831,0,UDP,35783,13363,0,2,133,1,Background
832,0,UDP,1839,13363,0,2,261,1,Background
833,0.001,UDP,21472,13363,0,2,742,1,Background
834,0.001,UDP,15628,13363,0,2,311,1,Background
835,12.237,UDP,30973,13363,0,10,680,1,Background
836,0,ICMP,7,7,0,1,1066,1,Botnet
837,0,ICMP,7,7,0,1,1066,1,Botnet
838,0,ICMP,7,7,0,1,1066,1,Botnet
839,0,ICMP,7,7,0,1,1066,1,Botnet
840,0,ICMP,7,7,0,1,1066,1,Botnet
841,0,ICMP,7,7,0,1,1066,1,Botnet
842,0,ICMP,7,7,0,1,1066,1,Botnet
843,0,ICMP,7,7,0,1,1066,1,Botnet
844,0,ICMP,7,7,0,1,1066,1,Botnet
845,0,ICMP,7,7,0,1,1066,1,Botnet
846,0,ICMP,7,7,0,1,1066,1,Botnet
847,0,ICMP,7,7,0,1,1066,1,Botnet
848,0,ICMP,7,7,0,1,1066,1,Botnet
849,0,ICMP,7,7,0,1,1066,1,Botnet
850,0,ICMP,7,7,0,1,1066,1,Botnet
851,0,ICMP,7,7,0,1,1066,1,Botnet
852,0,ICMP,7,7,0,1,1066,1,Botnet
853,0,ICMP,7,7,0,1,1066,1,Botnet
854,0,ICMP,7,7,0,1,1066,1,Botnet
855,0,ICMP,7,7,0,1,1066,1,Botnet
856,0,ICMP,7,7,0,1,1066,1,Botnet
857,0,ICMP,7,7,0,1,1066,1,Botnet
858,0,ICMP,7,7,0,1,1066,1,Botnet
859,0.389,TCP,3792,58898,0,5,930,1,Background
860,54.202,TCP,443,54592,0,89,8092,1,Background
861,0,TCP,1260,6881,0,2,116,1,Background
862,59.824,TCP,33703,443,0,14,5179,1,Background
863,0,ICMP,7,7,0,1,1066,1,Botnet
864,0,ICMP,7,7,0,1,1066,1,Botnet
865,0,ICMP,7,7,0,1,78,1,LEGITIMATE
866,0,ICMP,7,7,0,1,1066,1,Botnet
867,0,ICMP,7,7,0,1,1066,1,Botnet
868,0,ICMP,7,7,0,1,1066,1,Botnet
869,0,ICMP,7,7,0,1,1066,1,Botnet
870,0,ICMP,7,7,0,1,1066,1,Botnet
871,0,ICMP,7,7,0,1,1066,1,Botnet
872,0,ICMP,7,7,0,1,1066,1,Botnet
873,0,ICMP,7,7,0,1,1066,1,Botnet
874,0,ICMP,7,7,0,1,1066,1,Botnet
875,0,ICMP,7,7,0,1,1066,1,Botnet
876,0,ICMP,7,7,0,1,1066,1,Botnet
877,0,ICMP,7,7,0,1,1066,1,Botnet
878,0,ICMP,7,7,0,1,1066,1,Botnet
879,0,ICMP,7,7,0,1,1066,1,Botnet
880,0,ICMP,7,7,0,1,1066,1,Botnet
881,0,ICMP,7,7,0,1,1066,1,Botnet
882,0,ICMP,7,7,0,1,1066,1,Botnet
883,0,ICMP,7,7,0,1,1066,1,Botnet
884,0,ICMP,7,7,0,1,1066,1,Botnet
885,0,ICMP,7,7,0,1,1066,1,Botnet
886,0,ICMP,7,7,0,1,1066,1,Botnet
887,0,ICMP,7,7,0,1,1066,1,Botnet
888,0,ICMP,7,7,0,1,1066,1,Botnet
889,0,ICMP,7,7,0,1,1066,1,Botnet
890,0,ICMP,7,7,0,1,1066,1,Botnet
891,0,ICMP,7,7,0,1,1066,1,Botnet
892,0,ICMP,7,7,0,1,1066,1,Botnet
893,0,ICMP,7,7,0,1,1066,1,Botnet
894,0,ICMP,7,7,0,1,1066,1,Botnet
895,0,ICMP,7,7,0,1,1066,1,Botnet
896,0,ICMP,7,7,0,1,1066,1,Botnet
897,0,ICMP,7,7,0,1,1066,1,Botnet
898,0,ICMP,7,7,0,1,1066,1,Botnet
899,0,ICMP,7,7,0,1,1066,1,Botnet
900,0,ICMP,7,7,0,1,1066,1,Botnet
901,0,ICMP,7,7,0,1,1066,1,Botnet
902,0,ICMP,7,7,0,1,1066,1,Botnet
903,0,ICMP,7,7,0,1,1066,1,Botnet
904,0,ICMP,7,7,0,1,1066,1,Botnet
905,0,ICMP,7,7,0,1,1066,1,Botnet
906,0,ICMP,7,7,0,1,1066,1,Botnet
907,0,ICMP,7,7,0,1,1066,1,Botnet
908,0,ICMP,7,7,0,1,1066,1,Botnet
909,0,ICMP,7,7,0,1,1066,1,Botnet
910,0,ICMP,7,7,0,1,1066,1,Botnet
911,0,ICMP,7,7,0,1,1066,1,Botnet
912,0,ICMP,7,7,0,1,1066,1,Botnet
913,0,ICMP,7,7,0,1,1066,1,Botnet
914,0,ICMP,7,7,0,1,1066,1,Botnet
915,0,ICMP,7,7,0,1,1066,1,Botnet
916,0,ICMP,7,7,0,1,1066,1,Botnet
917,0,ICMP,7,7,0,1,1066,1,Botnet
918,0,ICMP,7,7,0,1,1066,1,Botnet
919,0,ICMP,7,7,0,1,1066,1,Botnet
920,0,ICMP,7,7,0,1,1066,1,Botnet
921,0,ICMP,7,7,0,1,1066,1,Botnet
922,0,ICMP,7,7,0,1,1066,1,Botnet
923,0,ICMP,7,7,0,1,1066,1,Botnet
924,0,ICMP,7,7,0,1,1066,1,Botnet
925,0,ICMP,7,7,0,1,1066,1,Botnet
926,0,ICMP,7,7,0,1,1066,1,Botnet
927,0,ICMP,7,7,0,1,1066,1,Botnet
928,0,ICMP,7,7,0,1,1066,1,Botnet
929,0,ICMP,7,7,0,1,1066,1,Botnet
930,0,ICMP,7,7,0,1,1066,1,Botnet
931,0,ICMP,7,7,0,1,1066,1,Botnet
932,0,ICMP,7,7,0,1,1066,1,Botnet
933,0,ICMP,7,7,0,1,1066,1,Botnet
934,0,ICMP,7,7,0,1,1066,1,Botnet
935,0,ICMP,7,7,0,1,1066,1,Botnet
936,0,ICMP,7,7,0,1,1066,1,Botnet
937,0,ICMP,7,7,0,1,1066,1,Botnet
938,0,ICMP,7,7,0,1,1066,1,Botnet
939,0,ICMP,7,7,0,1,1066,1,Botnet
940,0,ICMP,7,7,0,1,1066,1,Botnet
941,0,ICMP,7,7,0,1,78,1,LEGITIMATE
942,0,ICMP,7,7,0,1,1066,1,Botnet
943,0,ICMP,7,7,0,1,1066,1,Botnet
944,0,ICMP,7,7,0,1,1066,1,Botnet
945,0,ICMP,7,7,0,1,1066,1,Botnet
946,0,ICMP,7,7,0,1,1066,1,Botnet
947,0,ICMP,7,7,0,1,1066,1,Botnet
948,0,ICMP,7,7,0,1,1066,1,Botnet
949,0,ICMP,7,7,0,1,1066,1,Botnet
950,0,ICMP,7,7,0,1,1066,1,Botnet
951,0,ICMP,7,7,0,1,1066,1,Botnet
952,0,ICMP,7,7,0,1,1066,1,Botnet
953,0,ICMP,7,7,0,1,1066,1,Botnet
954,0,ICMP,7,7,0,1,1066,1,Botnet
955,0,ICMP,7,7,0,1,1066,1,Botnet
956,0,ICMP,7,7,0,1,1066,1,Botnet
957,0,ICMP,7,7,0,1,1066,1,Botnet
958,0,ICMP,7,7,0,1,1066,1,Botnet
959,0,ICMP,7,7,0,1,1066,1,Botnet
960,0,ICMP,7,7,0,1,1066,1,Botnet
961,0,ICMP,7,7,0,1,1066,1,Botnet
962,0.215,UDP,13363,3146,0,2,137,1,Background
963,59.342,TCP,65492,443,0,20,4651,1,LEGITIMATE
964,59.796,TCP,57134,19083,0,7,1828,1,Background
965,0,TCP,2452,43087,0,2,120,1,Background
966,6.062,UDP,44832,13363,0,6,402,1,Background
967,38.297,UDP,19083,40802,0,6,959,1,Background
968,0,ICMP,7,7,0,1,78,1,LEGITIMATE
969,0,UDP,19181,4041,0,1,145,1,Background
970,0,ICMP,7,7,0,1,78,1,LEGITIMATE
971,0.176,UDP,13363,44310,0,2,603,1,Background
972,0.138,UDP,13363,39412,0,2,135,1,Background
973,0.19,UDP,13363,21090,0,2,131,1,Background
974,10.038,TCP,59084,80,0,22,3153,1,Background
975,5.999,ICMP,7,7,0,3,534,1,Background
976,0,UDP,47329,13363,0,2,123,1,Background
977,0,UDP,15163,19083,0,2,135,1,Background
978,0,UDP,138,138,0,2,494,1,Background
979,0,UDP,21158,13363,0,2,134,1,Background
980,0,UDP,46508,53,0,2,503,1,Background
981,2.891,ICMP,7,7,0,2,200,1,Background
982,0,UDP,57970,13363,0,2,131,1,Background
983,0.233,UDP,53148,53,0,2,150,1,LEGITIMATE
984,9.01,UDP,13363,10743,0,3,450,1,Background
985,0,UDP,38042,19083,0,2,141,1,Background
986,0.59,UDP,64699,13363,0,2,253,1,Background
987,0.002,UDP,55141,19083,0,2,526,1,Background
988,0,UDP,35585,53,0,2,400,1,LEGITIMATE
989,0,UDP,39377,53,0,2,400,1,LEGITIMATE
990,0.018,TCP,44809,80,0,6,412,1,LEGITIMATE
991,0,UDP,38414,19083,0,2,135,1,Background
992,0,UDP,22430,13363,0,2,260,1,Background
993,0.005,UDP,7280,19083,0,4,2986,1,Background
994,0.017,UDP,63346,19083,0,2,306,1,Background
995,0,UDP,58934,13363,0,2,134,1,Background
996,59.876,TCP,51047,80,0,6,396,1,LEGITIMATE
997,53.451,TCP,35612,443,0,63,5919,1,Background
998,0,TCP,2173,6881,0,2,116,1,Background
999,0.099,TCP,41495,80,0,2,138,1,LEGITIMATE
1000,0,TCP,54128,443,0,1,54,1,LEGITIMATE
